PRVDR_NUM_MOD,PRVDR_CTGRY_SBTYP_CD,PRVDR_CTGRY_CD,CITY_NAME,FAC_NAME,STATE_CD,ST_ADR,PHNE_NUM,PGM_TRMNTN_CD,ZIP_CD,FIPS_CNTY_CD,BED_CNT,FAX_PHNE_NUM,MDCD_MDCR_PRTCPTG_PRVDR_SW,MLT_FAC_ORG_NAME,MLT_OWND_FAC_ORG_SW,DCTD_ER_SRVC_CD,SHCK_TRMA_SRVC_CD,EMPLEE_CNT,URGNT_CARE_SRVC_CD,PHYSN_CNTRCTR_SW,LAB_SRVC_CD,DGNSTC_XRAY_ONST_NRSDNT_SW,PED_SRVC_CD,PHRMCY_SRVC_CD,PED_ICU_SRVC_CD,LATITUDE,LONGITUDE
'010052',1,1,DADEVILLE,LAKE MARTIN COMMUNITY HOSPITAL,AL,201 MARIARDEN ROAD,2568257821,0,36853,123,46,,Y,,,3,0,,0,,,,0,1,0,32.817208,-85.74115
'010055',1,1,DOTHAN,FLOWERS HOSPITAL,AL,4370 WEST MAIN STREET,3347935000,0,36305,69,235,3346158419,Y,,,1,0,,0,,,,1,1,0,31.236498,-85.459303
'010056',1,1,BIRMINGHAM,ST VINCENT'S BIRMINGHAM,AL,810 ST VINCENT'S DRIVE,2059397000,0,35205,73,409,,Y,,,3,0,,0,,,,1,1,0,33.507969,-86.787961
'010058',1,1,CENTREVILLE,BIBB MEDICAL CENTER,AL,208 PIERSON AVE,2059264881,0,35042,7,35,,Y,,,1,0,,0,,,,0,1,0,32.951456,-87.147038
'010059',1,1,MOULTON,LAWRENCE MEDICAL CENTER,AL,202 HOSPITAL STREET,2569742200,0,35650,79,98,2569742240,Y,,,1,0,,0,,,,1,1,0,34.483576,-87.285908
'010061',1,1,SCOTTSBORO,HIGHLANDS MEDICAL CENTER,AL,380 WOODS COVE ROAD,2562594444,0,35768,71,170,,Y,,,3,0,,0,,,,1,1,0,34.659366,-86.049409
'010062',1,1,GENEVA,WIREGRASS MEDICAL CENTER,AL,1200 W MAPLE AVENUE,3346843655,0,36340,61,83,,Y,,,3,0,,0,,,,0,1,0,31.048265,-85.890262
'010065',1,1,ALEXANDER CITY,RUSSELL HOSPITAL,AL,3316 HIGHWAY 280,2563297100,0,35010,123,81,,Y,,,3,0,,0,,,,1,1,0,32.944012,-85.953853
'010069',1,1,EUFAULA,MEDICAL CENTER BARBOUR,AL,820 W WASHINGTON ST,3346887271,0,36027,5,74,,Y,,,3,0,,0,,,,0,2,0,31.888033,-85.157902
'010073',1,1,ASHLAND,CLAY COUNTY HOSPITAL,AL,83825 HIGHWAY 9    P O BOX 1270,2563542131,0,36251,27,53,,Y,,,1,0,,0,,,,1,1,0,34.799257,-86.516102
'010078',1,1,ANNISTON,NORTHEAST ALABAMA REGIONAL MED CENTER,AL,400 EAST 10TH STREET,2562355121,0,36207,15,338,,Y,,,3,0,,0,,,,1,1,0,33.655982,-85.822589
'010079',1,1,ATHENS,ATHENS-LIMESTONE HOSPITAL,AL,700 WEST MARKET STREET,2562339292,0,35611,83,101,,Y,,,2,0,,0,,,,1,2,0,34.828383,-86.917134
'010083',1,1,FOLEY,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,1613 NORTH MCKENZIE STREET,2519493400,0,36535,3,112,,Y,,,2,0,,0,,,,0,1,0,30.406587,-87.683597
'010085',1,1,DECATUR,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,AL,1201 7TH STREET SE,2563412000,0,35601,103,337,,Y,,,1,0,,0,,,,1,1,0,34.591117,-86.972577
'010086',1,1,WINFIELD,NORTHWEST MEDICAL CENTER,AL,1530 U S HIGHWAY 43,2054877736,0,35594,93,71,,Y,,,3,0,,0,,,,1,1,0,33.928993,-87.817246
'010087',1,1,MOBILE,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,AL,2451 FILLINGIM STREET,2514717110,0,36617,97,406,,Y,,,1,0,,0,,,,1,1,0,30.708015,-88.099581
'010089',1,1,JASPER,WALKER BAPTIST MEDICAL CENTER,AL,3400 HIGHWAY 78 EAST,2053874000,0,35502,127,267,,Y,,,1,0,,0,,,,1,1,0,33.887519,-87.264105
'010090',1,1,MOBILE,PROVIDENCE HOSPITAL,AL,6801 AIRPORT BOULEVARD,2516331000,0,36608,97,349,,Y,,,1,1,,0,,,,1,1,0,30.682719,-88.200769
'010091',1,1,GROVE HILL,GROVE HILL MEMORIAL HOSPITAL,AL,295 JACKSON HWY S,2512753191,0,36451,25,50,,Y,,,1,0,,0,,,,1,1,0,31.708768,-87.777222
'010092',1,1,TUSCALOOSA,D C H REGIONAL MEDICAL CENTER,AL,809 UNIVERSITY BOULEVARD EAST,2057597111,0,35401,125,787,,Y,,,1,1,,0,,,,1,1,1,33.206052,-87.525314
'010095',1,1,GREENSBORO,HALE COUNTY HOSPITAL,AL,508 GREEN STREET,3346243024,0,36744,65,39,,Y,,,1,0,,0,,,,1,3,0,32.704575,-87.59584
'010097',1,1,WETUMPKA,ELMORE COMMUNITY HOSPITAL,AL,500 HOSPITAL DRIVE,3345674311,0,36092,51,69,3345674312,Y,,,1,0,,0,,,,0,1,0,32.551159,-86.190032
'010099',1,1,BREWTON,D W MCMILLAN MEMORIAL HOSPITAL,AL,1301 BELLEVILLE AVENUE,2518678061,0,36426,53,65,2518098459,Y,,,1,0,,0,,,,1,1,0,31.127222,-87.072525
'010100',1,1,FAIRHOPE,THOMAS HOSPITAL,AL,750 MORPHY AVENUE,2519282375,0,36532,3,150,,Y,,,1,0,,0,,,,1,1,0,30.519906,-87.888303
'010101',1,1,TALLADEGA,CITIZENS BAPTIST MEDICAL CENTER,AL,604 STONE AVENUE,2567614542,0,35161,121,122,,Y,,,3,0,,0,,,,1,1,0,33.439862,-86.090084
'010102',1,1,CAMDEN,J PAUL JONES HOSPITAL,AL,317 MCWILLIAMS AVENUE,3346824131,0,36726,131,30,,Y,,,3,0,,0,,,,0,1,0,31.990981,-87.290546
'010103',1,1,BIRMINGHAM,BAPTIST MEDICAL CENTER-PRINCETON,AL,701 PRINCETON AVENUE SOUTHWEST,2057833800,0,35211,73,505,,Y,,,1,0,,0,,,,1,1,0,33.499436,-86.845365
'010104',1,1,BIRMINGHAM,TRINITY MEDICAL CENTER,AL,800 MONTCLAIR RD,2055921000,0,35213,73,534,,Y,,,1,1,,0,,,,1,1,0,33.513855,-86.748985
'010108',1,1,PRATTVILLE,PRATTVILLE BAPTIST HOSPITAL,AL,124 S MEMORIAL DR,3343614267,0,36067,1,85,,Y,,,3,0,,0,,,,0,1,0,32.464479,-86.451032
'010109',1,1,CARROLLTON,PICKENS COUNTY MEDICAL CENTER,AL,241 ROBERT K WILSON DRIVE,2053678111,0,35447,107,56,2053672121,Y,,,1,0,,0,,,,0,2,0,33.261787,-88.095026
'010110',1,1,UNION SPRINGS,BULLOCK COUNTY HOSPITAL,AL,102 WEST CONECUH AVENUE,3347382140,0,36089,11,54,,Y,,,1,0,,0,,,,0,3,0,32.146233,-85.713575
'010112',1,1,DEMOPOLIS,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,AL,105 HIGHWAY 80 EAST,3342894000,0,36732,91,99,,Y,,,3,0,,0,,,,1,1,0,32.517828,-87.83682
'010113',1,1,MOBILE,MOBILE INFIRMARY,AL,5 MOBILE INFIRMARY CIRCLE,2514354700,0,36652,97,689,,Y,,,1,0,,0,,,,1,1,1,30.696401,-88.078851
'010114',1,1,BESSEMER,MEDICAL WEST  AN AFFILIATE OF UAB HEALTH SYSTEM,AL,995 9TH AVENUE SOUTHWEST,2054817000,0,35021,73,300,,Y,,,3,0,,0,,,,1,1,0,33.369488,-86.995485
'010118',1,1,SELMA,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,1015 MEDICAL CENTER PARKWAY,3344184100,0,36701,47,214,,Y,,,3,0,,0,,,,1,2,0,32.42814,-87.052787
'010120',1,1,MONROEVILLE,MONROE COUNTY HOSPITAL,AL,2016 SOUTH ALABAMA AVENUE  BOX 886,2515753111,0,36460,99,94,,Y,,,2,0,,0,,,,1,1,0,31.52794,-87.324708
'010125',1,1,HALEYVILLE,LAKELAND COMMUNITY HOSPITAL,AL,42024 HIGHWAY 195 E     POST OFFICE BOX 780,2054857117,0,35565,133,50,,Y,,,1,0,,0,,,,0,1,0,34.226488,-87.621413
'010126',1,1,TROY,TROY REGIONAL MEDICAL CENTER,AL,1330 HIGHWAY 231 SOUTH,3346705000,0,36081,109,97,3345667490,Y,,,1,0,,0,,,,0,1,0,31.808768,-85.969951
'010128',1,1,JACKSON,JACKSON MEDICAL CENTER,AL,220 HOSPITAL DRIVE,2512469021,0,36545,25,35,,Y,,,1,0,,1,,,,1,1,0,31.530266,-87.892618
'010129',1,1,BAY MINETTE,NORTH BALDWIN INFIRMARY,AL,1815 HAND AVENUE,2519375521,0,36507,3,70,,Y,,,3,0,,0,,,,1,1,0,30.901717,-87.783075
'010130',1,1,PELL CITY,ST VINCENT'S ST CLAIR,AL,7063 VETERANS PARKWAY,2053383301,0,35125,115,40,,Y,,,1,0,,0,,,,0,1,0,33.607001,-86.290967
'010131',1,1,HUNTSVILLE,CRESTWOOD MEDICAL CENTER,AL,ONE HOSPITAL DR SE,2568823100,0,35801,89,147,,Y,,,3,0,,0,,,,0,1,0,34.615232,-86.807343
'010138',1,1,YORK,HILL HOSPITAL OF SUMTER COUNTY,AL,751 DERBY DRIVE,2053925263,0,36925,119,33,,Y,,,1,0,,0,,,,0,2,0,32.491471,-88.296738
'010139',1,1,BIRMINGHAM,BROOKWOOD MEDICAL CENTER,AL,2010 BROOKWOOD MEDICAL CENTER DRIVE,2058771000,0,35209,73,586,,Y,,,3,0,,0,,,,0,1,0,33.520682,-86.802433
'010144',1,1,MOBILE,SPRINGHILL MEMORIAL HOSPITAL,AL,3719 DAUPHIN STREET,2513449630,0,36608,97,252,,Y,,,1,0,,0,,,,1,1,0,30.685389,-88.136099
'010146',1,1,JACKSONVILLE,RMC JACKSONVILLE,AL,1701 SOUTH PELHAM ROAD,2567824538,0,36265,15,89,2567824589,Y,,,3,0,,0,,,,1,1,0,33.813716,-85.761348
'010148',1,1,EVERGREEN,EVERGREEN MEDICAL CENTER,AL,101 CRESTVIEW AVENUE,2515782480,0,36401,35,44,2515782480,Y,,,1,0,,0,,,,1,1,0,31.433499,-86.956918
'010149',1,1,MONTGOMERY,BAPTIST MEDICAL CENTER EAST,AL,400 TAYLOR ROAD,3342448330,0,36117,101,150,,Y,,,3,0,,0,,,,1,1,0,32.357715,-86.171391
'010150',1,1,GREENVILLE,L V STABLER MEMORIAL HOSPITAL,AL,29 L V STABLER DRIVE,3343822200,0,36037,13,72,,Y,,,3,0,,0,,,,1,2,0,31.82851,-86.646283
'010157',1,1,MUSCLE SHOALS,SHOALS HOSPITAL,AL,201 WEST AVALON AVENUE,2563861601,0,35661,33,178,,Y,,,1,0,,0,,,,1,1,1,34.744903,-87.672471
'010158',1,1,RUSSELLVILLE,RUSSELLVILLE HOSPITAL,AL,15155 HIGHWAY 43,2563321611,0,35653,59,100,,Y,,,3,3,,0,,,,1,1,0,34.506811,-87.728999
'010164',1,1,SYLACAUGA,COOSA VALLEY MEDICAL CENTER,AL,315 W HICKORY ST,2562495000,0,35150,121,163,,Y,,,3,0,,0,,,,1,1,0,33.164604,-86.254094
'010167',1,1,BIRMINGHAM,UAB HIGHLANDS,AL,1201 11TH AVENUE SOUTH,2059307000,0,35205,73,219,,Y,,,1,0,,0,,,,0,1,0,33.495347,-86.807202
'010168',1,1,PHENIX CITY,JACK HUGHSTON MEMORIAL HOSPITAL,AL,4401 RIVER CHASE DRIVE,3347323000,0,36867,113,70,3347323020,Y,,,3,0,,0,,,,1,3,0,32.504616,-85.003499
'010169',1,1,ATMORE,ATMORE COMMUNITY HOSPITAL,AL,401 MEDICAL PARK DRIVE,2513682500,0,36502,53,49,2513686237,Y,,,1,0,,0,,,,0,1,0,31.016193,-87.479823
'011300',11,1,CHATOM,WASHINGTON COUNTY HOSPITAL,AL,14600 ST. STEPHENS AVENUE,2518472223,0,36518,129,25,,Y,,,2,0,,0,,,,3,2,0,31.465165,-88.254456
'011302',11,1,RED BAY,RED BAY HOSPITAL,AL,211 HOSPITAL ROAD,2563569532,0,35582,59,25,,Y,,,3,0,,0,,,,0,3,0,34.457346,-88.145432
'011304',11,1,BUTLER,CHOCTAW GENERAL HOSPITAL,AL,401 VANITY FAIR LANE  PO BOX 618,2054599100,0,36904,23,25,2054599190,Y,,,3,0,,0,,,,0,2,0,32.089591,-88.221965
'012006',2,1,MOBILE,INFIRMARY LTAC HOSPITAL,AL,5 MOBILE INFIRMARY CIRCLE,2516605611,0,36607,97,38,,Y,,,0,0,,0,,,,0,2,0,30.696401,-88.078851
'012007',2,1,MONTGOMERY,NOLAND HOSPITAL MONTGOMERY  LLC,AL,1725 PINE STREET 5TH FLOOR NORTH WING,3342400532,0,36106,101,60,,Y,,,0,0,,0,,,,0,2,0,32.366966,-86.300648
'012008',2,1,BIRMINGHAM,SELECT SPECIALTY HOSP-BIRMINGHAM,AL,800 MONTCLAIR ROAD 9TH FLOOR,2055994595,0,35213,73,38,,Y,,,0,0,,0,,,,0,1,0,33.520682,-86.802433
'012009',2,1,BIRMINGHAM,NOLAND HOSPITAL BIRMINGHAM  LLC,AL,50 MEDICAL PARK EAST DRIVE 8TH FLOOR,2058385100,0,35235,73,45,,Y,,,0,0,,0,,,,0,2,0,33.520682,-86.802433
'012010',2,1,DOTHAN,NOLAND HOSPITAL DOTHAN II  LLC,AL,1108 ROSS CLARK CIRCLE 4TH FLOOR,3346994300,0,36302,69,35,,Y,,,0,0,,0,,,,0,2,0,31.223231,-85.390489
'012011',2,1,ANNISTON,NOLAND HOSPITAL ANNISTON  LLC,AL,400 EAST 10TH STREET 4TH FLOOR,2567416141,0,36202,15,38,2567416158,Y,,,0,0,,0,,,,0,2,0,33.659442,-85.831633
'012012',2,1,TUSCALOOSA,NOLAND HOSPITAL TUSCALOOSA  LLC,AL,809 UNIVERSITY BOULEVARD EAST 4TH FLOOR,2057597241,0,35401,125,32,,Y,,,0,0,,0,,,,0,0,0,33.209561,-87.567526
'012013',2,1,ALABASTER,NOLAND HOSPITAL SHELBY  LLC,AL,1000 FIRST STREET 3RD FLOOR,2056208641,0,35007,117,52,,Y,,,0,0,,0,,,,1,2,1,33.208678,-86.761857
'013025',5,1,BIRMINGHAM,HEALTHSOUTH LAKESHORE REHABILITATION HOSPITAL,AL,3800 RIDGEWAY DRIVE,2058682000,0,35209,73,100,,Y,,,2,0,,0,,,,0,1,0,33.520682,-86.802433
'013028',5,1,MONTGOMERY,HEALTHSOUTH REHABILITATION HOSPITAL OF MONTGOMERY,AL,4465 NARROW LANE RD,3342847821,0,36116,101,70,,Y,,,0,0,,0,,,,0,1,0,32.319885,-86.282036
'013029',5,1,HUNTSVILLE,HEALTHSOUTH REHABILITATION HOSPITAL OF NORTH AL,AL,107 GOVERNORS DRIVE,2055352300,0,35801,89,70,,Y,,,2,2,,0,,,,2,2,0,34.720218,-86.619723
'013030',5,1,DOTHAN,HEALTHSOUTH REHABILITATION HOSPITAL,AL,1736 EAST MAIN STREET,3347126333,0,36301,69,51,,Y,,,0,0,,0,,,,0,1,0,31.223325,-85.389699
'013032',5,1,GADSDEN,HEALTHSOUTH REHABILITATION HOSPITAL OF GADSDEN,AL,801 GOODYEAR AVE,2564395000,0,35903,55,44,,Y,,,0,0,,0,,,,0,1,0,34.001631,-85.949158
'013033',5,1,PHENIX CITY,REGIONAL REHABILITATION HOSPITAL,AL,3715 HIGHWAY 280,3347322200,0,36869,113,48,,Y,,,0,0,,0,,,,0,1,0,32.470976,-85.000765
'013300',6,1,BIRMINGHAM,CHILDREN'S HOSPITAL OF ALABAMA,AL,1600 SEVENTH AVENUE SOUTH,2059399100,0,35233,73,332,,Y,,,1,0,,0,,,,1,1,0,33.520682,-86.802433
'013301',6,1,MOBILE,UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS,AL,1700 CENTER STREET,2514151000,0,36604,97,152,,Y,,,1,0,,0,,,,1,1,1,30.696206,-88.076978
'014000',4,1,BIRMINGHAM,HILL CREST BEHAVIORAL HEALTH SERVICES,AL,6869 FIFTH AVENUE SOUTH,2058339000,0,35212,73,94,,Y,,,0,0,,0,,,,0,2,0,33.520682,-86.802433
'014006',4,1,GADSDEN,MOUNTAIN VIEW HOSPITAL,AL,3201 SCENIC HIGHWAY,2565469265,0,35902,55,68,,Y,,,0,0,,0,,,,0,2,0,34.108974,-85.982199
'014007',4,1,TUSCALOOSA,BRYCE HOSPITAL,AL,200 UNIVERSITY BLVD,2057590750,0,35401,125,268,,Y,,,0,0,,0,,,,0,1,0,33.210662,-87.565588
'014009',4,1,DECATUR,NORTH ALABAMA REGIONAL HOSPITAL,AL,4218 HWY 31 SOUTH,2563539433,0,35609,103,74,,Y,,,0,0,,0,,,,0,1,0,34.542533,-86.909061
'014012',4,1,TUSCALOOSA,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,AL,201 UNIVERSITY BLVD,2057590900,0,35401,125,96,,Y,,,2,0,,0,,,,0,2,0,33.210662,-87.565588
'014013',4,1,DOTHAN,LAUREL OAKS BEHAVIORAL HEALTH CENTER,AL,700 EAST COTTONWOOD RD,3347947393,0,36301,69,24,,Y,,,0,0,,0,,,,0,2,0,31.20484,-85.384179
'014014',4,1,MOBILE,BAYPOINTE BEHAVIORAL HEALTH,AL,5800 SOUTHLAND DRIVE,2516627998,0,36693,97,60,2516667537,Y,,,0,0,,0,,,,0,1,0,30.623903,-88.177561
'014015',4,1,LUVERNE,BEACON CHILDREN'S HOSPITAL,AL,150 HOSPITAL DRIVE,3343355040,0,36049,41,28,,Y,,,0,0,,0,,,,1,2,0,31.716546,-86.263849
'014016',4,1,CULLMAN,SANCTUARY AT THE WOODLANDS  THE,AL,1910 CHEROKEE AVENUE  SW,2567391239,0,35055,43,20,,Y,,,0,0,,0,,,,0,2,0,34.142068,-86.84824
'014017',4,1,DAPHNE,EASTPOINTE HOSPITAL,AL,7400 ROPER LANE,2513786500,0,36526,3,66,,Y,,,0,0,,0,,,,0,3,0,30.635236,-87.898021
'014018',4,1,HUNTSVILLE,BEHAVIORAL HEALTHCARE CENTER AT HUNTSVILLE INC,AL,5315 MILLENIUM DRIVE NW,2569646700,0,35806,89,20,,Y,,,0,0,,2,,,,0,2,0,34.615232,-86.807343
'019801',20,1,BIRMINGHAM,CHILDREN'S HOSPITAL OF ALABAMA,AL,1600 SEVENTH AVENUE SOUTH,2056389828,0,35233,73,0,,Y,,,0,0,,0,,,,0,0,0,33.520682,-86.802433
'020001',1,1,ANCHORAGE,PROVIDENCE ALASKA MEDICAL CENTER,AK,BOX 196604,9072613675,0,99508,20,401,9072613041,Y,,,3,0,,0,,,,3,1,3,61.624327,-149.77812
'020006',1,1,PALMER,MAT-SU REGIONAL MEDICAL CENTER,AK,2500 SOUTH WOODWORTH LOOP,9077468600,0,99645,170,39,9077468653,Y,,,1,0,,0,,,,1,1,0,61.59808,-149.109967
'020008',1,1,JUNEAU,BARTLETT REGIONAL HOSPITAL,AK,3260 HOSPITAL DR,9077968900,0,99801,110,57,9074634919,Y,,,1,3,,0,,,,0,1,0,58.330026,-134.470129
'020012',1,1,FAIRBANKS,FAIRBANKS MEMORIAL HOSPITAL,AK,1650 COWLES STREET,9074528181,0,99701,90,162,9074585324,Y,,,3,0,,0,,,,3,1,3,64.834606,-147.739213
'020017',1,1,ANCHORAGE,ALASKA REGIONAL HOSPITAL,AK,2801 DEBARR ROAD,9072761131,0,99508,20,238,9072641143,Y,,,1,0,,0,,,,1,1,0,61.209797,-149.82876
'020018',1,1,BETHEL,YUKON KUSKOKWIM DELTA REG HOSPITAL,AK,PO BOX 287,9075436300,0,99559,50,50,9075436366,Y,,,1,0,,0,,,,1,1,0,60.792222,-161.755833
'020024',1,1,SOLDOTNA,CENTRAL PENINSULA GENERAL HOSPITAL,AK,250 HOSPITAL PLACE,9072624404,0,99669,120,49,9072628184,Y,,,1,0,,0,,,,1,1,0,60.494319,-151.0778
'020026',1,1,ANCHORAGE,ALASKA NATIVE MEDICAL CENTER,AK,4315 DIPLOMACY DR,9075632662,0,99508,20,143,9077291984,Y,,,1,0,,0,,,,1,1,0,61.181961,-149.795906
'020027',1,1,SITKA,MT EDGECUMBE HOSPITAL,AK,222 TONGASS DR,9079662411,0,99835,220,27,9079668656,Y,,,1,0,,1,,,,1,1,0,57.051662,-135.355063
'021301',11,1,VALDEZ,PROVIDENCE VALDEZ MEDICAL CENTER,AK,PO BOX 550,9078352249,0,99686,260,15,9078353735,Y,,,2,0,,0,,,,2,1,0,61.139617,-146.384148
'021302',11,1,SEWARD,PROVIDENCE SEWARD HOSPITAL,AK,417 FIRST AVENUE PO BOX 365,9072245205,0,99664,210,6,9072247248,Y,,,1,0,,0,,,,0,0,0,60.119514,-149.414954
