HRRNumber,HRRCity,HRRState
318,Raleigh,NC
319,Wilmington,NC
320,Winston-Salem,NC
321,Bismarck,ND
322,Fargo/Moorhead MN,ND
323,Grand Forks,ND
324,Minot,ND
325,Akron,OH
326,Canton,OH
327,Cincinnati,OH
328,Cleveland,OH
329,Columbus,OH
330,Dayton,OH
331,Elyria,OH
332,Kettering,OH
334,Toledo,OH
335,Youngstown,OH
336,Lawton,OK
339,Oklahoma City,OK
340,Tulsa,OK
341,Bend,OR
342,Eugene,OR
343,Medford,OR
344,Portland,OR
345,Salem,OR
346,Allentown,PA
347,Altoona,PA
350,Danville,PA
351,Erie,PA
352,Harrisburg,PA
354,Johnstown,PA
355,Lancaster,PA
356,Philadelphia,PA
357,Pittsburgh,PA
358,Reading,PA
359,Sayre,PA
360,Scranton,PA
362,Wilkes-Barre,PA
363,York,PA
364,Providence,RI
365,Charleston,SC
366,Columbia,SC
367,Florence,SC
368,Greenville,SC
369,Spartanburg,SC
370,Rapid City,SD
371,Sioux Falls,SD
373,Chattanooga,TN
374,Jackson,TN
375,Johnson City,TN
376,Kingsport,TN
377,Knoxville,TN
379,Memphis,TN
380,Nashville,TN
382,Abilene,TX
383,Amarillo,TX
385,Austin,TX
386,Beaumont,TX
388,Bryan,TX
390,Corpus Christi,TX
391,Dallas,TX
393,El Paso,TX
394,Fort Worth,TX
396,Harlingen,TX
397,Houston,TX
399,Longview,TX
400,Lubbock,TX
402,McAllen,TX
406,Odessa,TX
411,San Angelo,TX
412,San Antonio,TX
413,Temple,TX
416,Tyler,TX
417,Victoria,TX
418,Waco,TX
420,Wichita Falls,TX
421,Ogden,UT
422,Provo,UT
423,Salt Lake City,UT
424,Burlington,VT
426,Arlington,VA
427,Charlottesville,VA
428,Lynchburg,VA
429,Newport News,VA
430,Norfolk,VA
431,Richmond,VA
432,Roanoke,VA
435,Winchester,VA
437,Everett,WA
438,Olympia,WA
439,Seattle,WA
440,Spokane,WA
441,Tacoma,WA
442,Yakima,WA
443,Charleston,WV
444,Huntington,WV
445,Morgantown,WV
446,Appleton,WI
447,Green Bay,WI
448,La Crosse,WI
449,Madison,WI
450,Marshfield,WI
451,Milwaukee,WI
452,Neenah,WI
456,Wausau,WI
457,Casper,WY
